 ,dive_ctd,sample_name,collection_method,sample_type,sample_identifier,filter,processing,location_name,depth_category,depth,fluid_origin,lat,long,pH,temp,prok,site,year
AXIAL_22_112_CTD003_ASHES_CTD_plume_CTD003_PES02_SHIPBOARD_18S,CTD003,ASHES,CTD,plume,CTD003,PES02,SHIPBOARD,ASHES,peak plume,1533,CTD003,45.925,-130.0495,NA,NA,NA,Axial,2022
AXIAL_22_113_J21434_Anemone_HFS_vent_1434HSF6_PES02_INSITU_18S,J21434,Anemone,HFS,vent,1434HSF6,PES02,INSITU,Anemone,diffuse,1540,1434HSF6,45.933592,-130.014068,NA,34.3,NA,Axial,2022
AXIAL_22_114_J21434_Anemone_HFS_vent_1434HSF7_PES02_INSITU_18S,J21434,Anemone,HFS,vent,1434HSF7,PES02,INSITU,Anemone,diffuse,1540,1434HSF7,45.933592,-130.014068,NA,34.7,NA,Axial,2022
AXIAL_23_01blank_HUBERLAB_ControlTreatment_Lab_control_REP1_postPCR_SHIPBOARD_18S,HUBERLAB,ControlTreatment,Lab,control,REP1,postPCR,SHIPBOARD,Lab control,7162024,0,REP1,NA,NA,NA,NA,NA,Axial,2023
AXIAL_23_02blank_HUBERLAB_ControlTreatment_Lab_control_REP2_postPCR_SHIPBOARD_18S,HUBERLAB,ControlTreatment,Lab,control,REP2,postPCR,SHIPBOARD,Lab control,7162024,0,REP2,NA,NA,NA,NA,NA,Axial,2023
AXIAL_23_129_HUBERLAB_ControlTreatment_Lab_control__sterivex_SHIPBOARD_CTRL,HUBERLAB,ControlTreatment,Lab,control,NA,sterivex,SHIPBOARD,Lab control,6202024,0,NA,NA,NA,NA,NA,NA,Axial,2023
AXIAL_23_130_J21505_BagCity_SUPR_vent_B316_sterivex_SHIPBOARD_18S,J21505,BagCity,SUPR,vent,B316,sterivex,SHIPBOARD,Bag City,diffuse,1528,B316,45.916228,-129.989225,NA,15,179000,Axial,2023
AXIAL_23_133_J21503_Diva_SUPR_vent_SUPRbottle_sterivex_SHIPBOARD_18S,J21503,Diva,SUPR,vent,SUPRbottle,sterivex,SHIPBOARD,Diva,diffuse,1518,SUPRbottle,45.926378,-129.979065,NA,24,120000,Axial,2023
AXIAL_23_134_J21502_Mkr33_UFO_vent_shipboard_sterivex_SHIPBOARD_18S,J21502,Mkr33,UFO,vent,shipboard,sterivex,SHIPBOARD,Marker 33,diffuse,1512,shipboard,45.933121,-129.982332,5.3,26,160000,Axial,2023
AXIAL_23_136_J21499_Anemone_CTD_vent_N1N2N3_PES02_SHIPBOARD_18S,J21499,Anemone,CTD,vent,N1N2N3,PES02,SHIPBOARD,Anemone,above vent,1537,N1N2N3,45.933592,-130.014068,NA,2.43,112000,Axial,2023
AXIAL_23_137_J21505_BagCity_SUPR_vent_F712_PES02_INSITU_18S,J21505,BagCity,SUPR,vent,F712,PES02,INSITU,Bag City,diffuse,1527,F712,45.916228,-129.989225,NA,NA,134000,Axial,2023
AXIAL_23_137b_J21505_BagCity_SUPR_vent_F712_PES02_INSITU_16S,J21505,BagCity,SUPR,vent,F712,PES02,INSITU,Bag City,diffuse,1527,F712,45.916228,-129.989225,NA,NA,NA,Axial,2023
AXIAL_23_138_J21501_Mkr113_UFO_vent_shipboard_sterivex_SHIPBOARD_18S,J21501,Mkr113,UFO,vent,shipboard,sterivex,SHIPBOARD,Marker 113,diffuse,1519,shipboard,45.933592,-130.014068,NA,11,127000,Axial,2023
AXIAL_23_139_J21502_Mkr33_CTD_vent_N1N2N3_PES02_SHIPBOARD_18S,J21502,Mkr33,CTD,vent,N1N2N3,PES02,SHIPBOARD,Marker 33,above vent,1510,N1N2N3,45.933121,-129.982332,NA,2.17,238000,Axial,2023
AXIAL_23_140_J21505_Vixen_SUPR_vent_F110_PES02_INSITU_18S,J21505,Vixen,SUPR,vent,F110,PES02,INSITU,Vixen,diffuse,1530,F110,45.917323,-129.992961,NA,NA,124000,Axial,2023
AXIAL_23_140b_J21505_Vixen_SUPR_vent_F110_PES02_INSITU_16S,J21505,Vixen,SUPR,vent,F110,PES02,INSITU,Vixen,diffuse,1530,F110,45.917323,-129.992961,NA,NA,NA,Axial,2023
AXIAL_23_142_J21499_Anemone_CTD_vent_N1N2N3_PES02_SHIPBOARD_18S,J21499,Anemone,CTD,vent,N1N2N3,PES02,SHIPBOARD,Anemone,above vent,1537,N1N2N3,45.933592,-130.014068,NA,2.46,112000,Axial,2023
AXIAL_23_143_J21503_Diva_UFO_control_ControlTreatment_sterivex_INSITU_CTRL,J21503,Diva,UFO,control,ControlTreatment,sterivex,INSITU,Diva,UFO,0,ControlTreatment,45.926378,-129.979065,NA,NA,NA,Axial,2023
AXIAL_23_144_J21506_Gollum_SUPR_vent_F1106_PES02_INSITU_18S,J21506,Gollum,SUPR,vent,F1106,PES02,INSITU,Gollum,diffuse,1539,F1106,45.93353198,-130.0132774,NA,12,141000,Axial,2023
AXIAL_23_144b_J21506_Gollum_SUPR_vent_F1106_PES02_INSITU_16S,J21506,Gollum,SUPR,vent,F1106,PES02,INSITU,Gollum,diffuse,1539,F1106,45.93353198,-130.0132774,NA,NA,170000,Axial,2023
AXIAL_23_145_J21501_Mkr113_CTD_vent_N1N2N3_PES02_SHIPBOARD_18S,J21501,Mkr113,CTD,vent,N1N2N3,PES02,SHIPBOARD,Marker 113,above vent,1516,N1N2N3,45.933592,-130.014068,NA,2.2,89000,Axial,2023
AXIAL_23_146_J21501_Mkr113_UFO_vent_F113_sterivex_INSITU_18S,J21501,Mkr113,UFO,vent,F113,sterivex,INSITU,Marker 113,diffuse,1519,F113,45.933592,-130.014068,NA,11,NA,Axial,2023
AXIAL_23_147_CTD002_ASHES_CTD_plume_Niskin_PES02_SHIPBOARD_18S,CTD002,ASHES,CTD,plume,Niskin,PES02,SHIPBOARD,ASHES,30m above,1467,Niskin,45.933497,-130.013489,NA,NA,60900,Axial,2023
AXIAL_23_148_CTD004_IntlDist_CTD_plume_Niskin_PES02_SHIPBOARD_18S,CTD004,IntlDist,CTD,plume,Niskin,PES02,SHIPBOARD,International District,30m above,1459,Niskin,45.92638333,-129.9799667,NA,NA,80600,Axial,2023
AXIAL_23_149_J21505_BagCity_SUPR_vent_F813_PES02_INSITU_18S,J21505,BagCity,SUPR,vent,F813,PES02,INSITU,Bag City,diffuse,1527,F813,45.916228,-129.989225,NA,NA,NA,Axial,2023
AXIAL_23_149b_J21505_BagCity_SUPR_vent_F813_PES02_INSITU_16S,J21505,BagCity,SUPR,vent,F813,PES02,INSITU,Bag City,diffuse,1527,F813,45.916228,-129.989225,NA,NA,NA,Axial,2023
AXIAL_23_150_J21503_Diva_SUPR_vent_F1117_PES02_INSITU_18S,J21503,Diva,SUPR,vent,F1117,PES02,INSITU,Diva,diffuse,1518,F1117,45.926378,-129.979065,NA,NA,NA,Axial,2023
AXIAL_23_150b_J21503_Diva_SUPR_vent_F1117_PES02_INSITU_16S,J21503,Diva,SUPR,vent,F1117,PES02,INSITU,Diva,diffuse,1518,F1117,45.926378,-129.979065,NA,NA,NA,Axial,2023
AXIAL_23_151_J21506_Gollum_SUPR_vent_F1207_PES02_INSITU_18S,J21506,Gollum,SUPR,vent,F1207,PES02,INSITU,Gollum,diffuse,1539,F1207,45.93353198,-130.0132774,NA,29,NA,Axial,2023
AXIAL_23_151b_J21506_Gollum_SUPR_vent_F1207_PES02_INSITU_16S,J21506,Gollum,SUPR,vent,F1207,PES02,INSITU,Gollum,diffuse,1539,F1207,45.93353198,-130.0132774,NA,NA,NA,Axial,2023
AXIAL_23_152_J21501_Mkr113_UFO_vent_F214_sterivex_INSITU_18S,J21501,Mkr113,UFO,vent,F214,sterivex,INSITU,Marker 113,diffuse,1519,F214,45.933592,-130.014068,6.1,32,NA,Axial,2023
AXIAL_23_153_J21501_Mkr113_CTD_vent_N1N2N3_PES02_SHIPBOARD_18S,J21501,Mkr113,CTD,vent,N1N2N3,PES02,SHIPBOARD,Marker 113,above vent,1516,N1N2N3,45.933592,-130.014068,NA,NA,114000,Axial,2023
AXIAL_23_154_J21505_Mkr113_SUPR_vent_F1206_PES02_INSITU_18S,J21505,Mkr113,SUPR,vent,F1206,PES02,INSITU,Marker 113,diffuse,1519,F1206,45.933592,-130.014068,NA,NA,NA,Axial,2023
AXIAL_23_154b_J21505_Mkr113_SUPR_vent_F1206_PES02_INSITU_16S,J21505,Mkr113,SUPR,vent,F1206,PES02,INSITU,Marker 113,diffuse,1519,F1206,45.933592,-130.014068,NA,NA,NA,Axial,2023
AXIAL_23_155_J21504_Mkr33_SUPR_vent_F1112_PES02_INSITU_18S,J21504,Mkr33,SUPR,vent,F1112,PES02,INSITU,Marker 33,diffuse,1512,F1112,45.933121,-129.982332,NA,NA,195000,Axial,2023
